,Windows,Mac,Linux,engine,release_date,genre,theme,players,score_final,rating,link
11361,True, False, False,Custom Built,Released 2008,Fighting,Fantasy,Single & Multiplayer,9.1,15 , http://indiedb.com/games/avalanche
11362,True, True, True,Spring,Released 2009,Real Time Strategy,War,Single & Multiplayer,5.9,9 v, http://indiedb.com/games/merc-squad
11363,True, False, False,Custom Built,Released 2008,Platformer,Sci-Fi,Single Player,9.6,10 , http://indiedb.com/games/mightier
11364,True, False, False,GameMaker: Studio,Released 2008,Puzzle Compilation,Comedy,Single Player,2.8,12 , http://indiedb.com/games/ball-of-doom
11365,True, False, False,Custom Built,Released 2008,First Person Shooter,Sci-Fi,Single Player,4.0,13 , http://indiedb.com/games/starship-troopers-escape-from-outpost-22
11366,True, False, False,Unknown,Released 2006,Adventure,Horror,Single Player,7.1,14 , http://indiedb.com/games/castlevania
11367,True, False, False,Unknown,Released 2006,First Person Shooter,Fighter,Single & Multiplayer,7.6,11 , http://indiedb.com/games/jackal
11368,True, False, False,Torque Game Engine,Released 2008,Adventure,Sci-Fi,Single Player,10.0,3 v, http://indiedb.com/games/cosmic-sunder-elements
11369,True, False, False,FPSC,Released 2008,First Person Shooter,Comedy,Single Player,5.6,26 , http://indiedb.com/games/kill-the-avatars
11370,True, False, False,Custom Built,Released 2008,Realistic Sim,Fighter,Single Player,6.7,11 , http://indiedb.com/games/dismount-games
11371,True, False, False,Custom Built,Released 2008,Platformer,Comedy,Single Player,7.3,12 , http://indiedb.com/games/ninja-monkey
11372,True, True, False,Custom Built,Released 2008,Real Time Strategy,Sci-Fi,Multiplayer,4.7,7 v, http://indiedb.com/games/beyond-protocol
11373,True, False, False,Multimedia Fusion,Released 2008,Platformer,Sci-Fi,Single & Multiplayer,5.1,16 , http://indiedb.com/games/tortal
11374,True, True, True,Glest Engine,Released 2008,Real Time Strategy,Sci-Fi,Single & Multiplayer,8.1,7 v, http://indiedb.com/games/nihilirian-rebirth
11375,True, False, False,Klik & Play engine,Released 2007,Fighting,Fighter,Single Player,7.0,3 v, http://indiedb.com/games/ryus-best-battles
11376,True, True, False,Torque Game Engine,Released 2008,Third Person Shooter,Horror,Single Player,6.8,13 , http://indiedb.com/games/larva-mortus
11377,True, False, False,Unknown,Released 2007,First Person Shooter,Fighter,Single Player,5.9,24 , http://indiedb.com/games/halo-hell-on-earth
11378,True, False, False,FPSC,Released 2008,First Person Shooter,Sci-Fi,Single Player,2.8,17 , http://indiedb.com/games/destroy-all-zombies
11379,True, False, False,Custom Built,Released 2009,First Person Shooter,Sci-Fi,Single Player,5.8,5 v, http://indiedb.com/games/the-space-war-3
11380,True, False, False,Unknown,Released 2007,Turn Based Strategy,Realism,Single Player,5.0,10 , http://indiedb.com/games/simdeveloper
11381,True, False, False,Unknown,Released 2007,Role Playing,Horror,Single Player,4.5,8 v, http://indiedb.com/games/the-haunted-house
11382,True, False, False,Unknown,Released 2007,Role Playing,Comedy,Single Player,1.5,11 , http://indiedb.com/games/noob-pwn-rpg
11383,True, False, False,Unknown,Released 2007,First Person Shooter,Fighter,Single Player,5.8,8 v, http://indiedb.com/games/foot-hold
11384,True, False, False,Unknown,Released 2007,First Person Shooter,Western,Single Player,3.0,29 , http://indiedb.com/games/resistance
11385,True, False, False,Unknown,Released 2007,Real Time Strategy,Sci-Fi,Single Player,9.4,5 v, http://indiedb.com/games/piu-space-wars
11386,True, False, False,Unknown,Released 2007,First Person Shooter,Sci-Fi,Multiplayer,3.2,10 , http://indiedb.com/games/trepidation
11387,True, False, False,Unknown,Released 2007,First Person Shooter,Western,Single Player,2.6,19 , http://indiedb.com/games/escape-from-hell
11388,True, False, False,Unknown,Released 2007,First Person Shooter,Western,Single & Multiplayer,4.2,5 v, http://indiedb.com/games/nadc
11389,True, False, False,Unknown,Released 2006,First Person Shooter,Comic,Single Player,2.2,9 v, http://indiedb.com/games/bank-robber
11390,True, False, False,Unknown,Released 2006,First Person Shooter,Western,Single & Multiplayer,6.3,26 , http://indiedb.com/games/ltktbm
11391,True, False, False,Unknown,Released 2006,Realistic Sim,Realism,Single Player,5.4,45 , http://indiedb.com/games/forest-creator
11397,True, False, False,GameMaker: Studio,Released Feb 7 2015,Cinematic,Abstract,Single Player,8.0,1 v, http://indiedb.com/games/psychometry-shapes-of-the-mind
11399,True, False, False,Multimedia Fusion,Released Jul 24 2014,Point and Click,Horror,Single Player,8.4,464, http://indiedb.com/games/five-nights-at-freddys
11408,True, False, True,Custom Built,Released Feb 8 2014,Adventure,Comedy,Single Player,8.1,8 v, http://indiedb.com/games/the-ditty-of-carmeana
11413,True, True, True,Custom Built,Released May 11 2015,Arcade,Comedy,Single Player,8.0,1 v, http://indiedb.com/games/attackontowers
11417,True, False, False,GameMaker: Studio,Released Oct 17 2013,Platformer,Abstract,Single Player,9.3,20 , http://indiedb.com/games/micro-dude
11421,True, True, False,Unity,Released 2012,Real Time Strategy,Sci-Fi,Single & Multiplayer,6.2,54 , http://indiedb.com/games/gemini-wars
11427,True, True, True,Unity,Released Nov 14 2014,Real Time Tactics,War,Single Player,10.0,1 v, http://indiedb.com/games/survivor-squad-gauntlets
11428,True, True, True,Unity,Released May 13 2013,Real Time Tactics,War,Single Player,8.0,98 , http://indiedb.com/games/survivor-squad
